YEAR,MONTH,Repo,Reverse Repo,Interbank Rate,91-Day Tbill,182-days Tbill,364-days Tbill,Cash Reserve Requirement,Central Bank Rate
,Nov,                  -   ,1.07,1.01,2.21,2.28,                  -   ,4.5,6
,Dec,                  -   ,1.41,1.18,2.28,2.59,3.36,4.5,6
2011,Jan,                  -   ,1.23,1.24,2.46,2.7,3.69,4.5,5.75
,Feb,                  -   ,1.18,1.13,2.59,2.76,3.72,4.5,5.75
,Mar,1.66,1.18,1.24,2.77,3.06,4,4.5,6
,Apr,4.5,2.99,3.97,3.26,3.51,5,4.5,6
,May,5.72,   -     ,5.54,5.35,4.57,6.77,4.5,6
,Jun,5.73,6.36,6.36,8.95,9.93,                  -   ,4.75,6.25
,Jul,                  -   ,6.25,8.61,8.99,9.85,10.22,4.75,6.25
,Aug,                  -   ,6.25,14.29,9.23,10.15,11.07,4.75,6.25
,Sep,                  -   ,5.75,7.46,11.93,11.28,12.54,4.75,7
,Oct,18.89,                  -   ,14.95,14.8,14.68,14.5,4.75,11
,Nov,                  -   ,                  -   ,28.9,16.14,15.9,16.62,4.75,16.5
,Dec,17.75,                  -   ,21.75,18.3,18.3,20.96,5.25,18
2012,Jan,17.88,                  -   ,19.27,20.56,20.69,21.96,5.25,18
,Feb,13.78,                  -   ,18.15,19.7,19.88,20.96,5.25,18
,Mar,                  -   ,                  -   ,24.02,17.8,18.24,17.04,5.25,18
,Apr,15.47,                  -   ,16.15,16.01,16.92,16.92,5.25,18
,May,16.97,                  -   ,17.16,11.18,12.71,12.43,5.25,18
,Jun,17.6,                  -   ,17.09,10.09,10.67,12.43,5.25,18
,Jul,14.31,                  -   ,13.71,11.95,12.21,13,5.25,16.5
,Aug,9.65,                  -   ,8.97,10.93,11.77,12.85,5.25,16.5
,Sep,8.42,                  -   ,7.02,7.77,9.36,10.34,5.25,13
,Oct,9.74,                  -   ,9.14,8.98,10.33,10.57,5.25,13
,Nov,8.3,                  -   ,7.14,9.8,10.47,11.94,5.25,11
,Dec,6.39,                  -   ,5.84,8.3,9.25,11.71,5.25,11
2013,Jan,6.6,                  -   ,5.86,8.08,8.09,11.67,5.25,9.5
,Feb,9.1,                  -   ,9.25,8.38,8.4,11.66,5.25,9.5
,Mar,9.35,                  -   ,8.93,9.88,9.89,12.54,5.25,9.5
,Apr,9.14,                  -   ,7.9,10.38,10.75,12.49,5.25,9.5
,May,7.96,                  -   ,7.16,9.46,10.04,11.29,5.25,8.5
,Jun,7.93,                  -   ,7.14,6.21,7.12,8.57,5.25,8.5
,Jul,7.48,                  -   ,7.93,5.92,6.23,8.81,5.25,8.5
,Aug,                  -   ,8.61,8.88,10.03,9.57,11.35,5.25,8.5
,Sep,7.11,                  -   ,7.52,9.58,10.15,10.91,5.25,8.5
,Oct,                  -   ,                  -   ,10.66,9.72,10.28,10.75,5.25,8.5
,Nov,                  -   ,12.35,10.77,9.94,10.54,10.97,5.25,8.5
,Dec,7.95,11.28,8.98,9.52,10.41,10.69,5.25,8.5
2014,Jan,                  -   ,                  -   ,10.43,9.26,10.36,10.65,5.25,8.5
,Feb,                  -   ,                  -   ,8.83,9.16,10.35,10.67,5.25,8.5
,Mar,6.92,                  -   ,6.47,8.98,10.08,10.46,5.25,8.5
,Apr,8.39,                  -   ,7.4,8.8,9.83,10.2,5.25,8.5
,May,8.42,                  -   ,7.76,8.82,9.86,10.09,5.25,8.5
,Jun,6.46,                  -   ,6.6,9.81,10.5,10.55,5.25,8.5
,Jul,   -     ,                  -   ,8.08,9.78,10.74,10.96,5.25,8.5
,Aug,12.95,                  -   ,11.79,8.29,8.85,10.28,5.25,8.5
,Sep,8.39,                  -   ,7.43,8.38,8.61,10.26,5.25,8.5
,Oct,8.39,                  -   ,6.73,8.67,8.91,10.28,5.25,8.5
,Nov,8.17,                  -   ,6.86,8.64,9.18,10.24,5.25,8.5
,Dec,8.29,                  -   ,6.91,8.58,9.49,10.38,5.25,8.5
2015,Jan,8.09,                  -   ,7.12,8.59,10.19,10.73,5.25,8.5
,Feb,7.87,                  -   ,6.77,8.59,10.37,10.96,5.25,8.5
,Mar,8.08,                  -   ,6.85,8.49,10.35,10.69,5.25,8.5
,Apr,8.38,                  -   ,8.77,8.42,10.26,10.57,5.25,8.5
,May,8.5,                  -   ,11.17,8.26,10.37,10.77,5.25,8.5
,Jun,9.7,                  -   ,11.78,8.26,10.55,10.98,5.25,10
,Jul,10.61,                  -   ,12.89,10.57,11.99,11.93,5.25,11.5
,Aug,11.5,                  -   ,18.8,11.54,12.06,13.3,5.25,11.5
,Sep,11.5,                  -   ,19.85,14.61,13.4,15.24,5.25,11.5
,Oct,11.5,18.12,14.82,21.65,21.52,21.61,5.25,11.5
,Nov,                  -   ,14.21,8.77,12.34,14.02,15.2,5.25,11.5
,Dec,9.23,11.93,7.27,9.81,11.43,12.5,5.25,11.5
2016,Jan,8.85,11.44,6.37,11.36,13.46,14.08,5.25,11.5
,Feb,9.68,11.59,4.53,10.63,13.19,13.74,5.25,11.5
,Mar,4.31,11.63,4.05,8.72,10.83,12.26,5.25,11.5
,Apr,5.23,12.49,3.95,8.92,10.87,11.84,5.25,11.5
,May,6,11.55,3.61,8.15,10.25,11.6,5.25,10.5
,Jun,10.04,10.59,4.87,7.25,9.56,10.84,5.25,10.5
,Jul,9.76,10.57,5.54,6.16,9.79,10.88,5.25,10.5
,Aug,7.24,10.53,4.96,8.48,10.84,11.66,5.25,10
,Sep,                  -   ,10.36,4.89,8.06,10.85,11.03,5.25,10
,Oct,                  -   ,10.08,4.12,7.76,10.32,10.42,5.25,10
,Nov,7.05,10.17,5.11,8.22,10.32,10.74,5.25,10
,Dec,                  -   ,10.04,5.92,8.44,10.55,11.02,5.25,10
2017,Jan,9.95,10.02,7.7,8.58,10.5,10.98,5.25,10
,Feb,9.88,10.01,6.41,8.64,10.53,10.93,5.25,10
,Mar,7.23,10.04,4.46,8.69,10.53,10.91,5.25,10
,Apr,5.32,10.02,5.34,8.77,                  -   ,10.92,5.25,10
,May,5.29,10.01,4.93,8.73,10.41,10.92,5.25,10
,Jun,4.13,10.05,3.99,8.42,10.4,10.88,5.25,10
,Jul,8.29,10.25,6.99,8.22,10.32,10.89,5.25,10
,Aug,8.9,10.29,8.1,8.17,10.32,10.9,5.25,10
,Sep,7.23,10.12,5.5,8.13,10.32,10.93,5.25,10
,Oct,                  -   ,10.11,7.9,8.09,10.33,10.98,5.25,10
,Nov,9.21,10.1,8.86,8.01,10.47,11.01,5.25,10
,Dec,7.75,10.1,7.27,8.01,10.53,11.08,5.25,10
2018,Jan,8.75,10.02,6.21,8.04,10.64,11.16,5.25,10
,Feb,7.63,10.05,5.12,8.03,10.42,11.15,5.25,10
,Mar,                  -   ,9.95,4.9,8.02,10.39,10.13,5.25,9.5
,Apr,6.75,9.64,5.38,8,10.3,11.13,5.25,9.5
,May,7.44,9.6,4.7,7.96,10.26,11.14,5.25,9.5
,Jun,6.16,9.56,4.75,7.87,9.99,10.87,5.25,9.5
,Jul,6.56,9.46,5.07,7.69,9.35,10.33,5.25,9
,Aug,8.01,9.02,6.52,7.64,9,9.98,5.25,9
,Sep,4.77,9.03,4.28,7.64,8.82,9.76,5.25,9
,Oct,4.7,9.06,3.48,7.56,8.51,9.6,5.25,9
,Nov,7.1,                  -   ,4.09,7.36,8.3,9.53,5.25,9
,Dec,7.72,11.34,8.15,7.34,8.4,9.68,5.25,9
2019,Jan,3.7,                  -   ,3.32,7.19,8.92,9.96,5.25,9
,Feb,3.2,9,2.51,7.02,8.55,9.15,5.25,9
,Mar,3.5,                  -   ,3.72,7.08,8.28,9.45,5.25,9
,Apr,3,9.13,4.12,7.41,8.11,9.16,5.25,9
,May,,9.18,5.61,7.17,7.85,9.32,5.25,9
,June,4.23,                  -   ,2.98,6.9,7.64,9.23,5.25,9
,July,4.55,                  -   ,2.28,6.62,7.45,8.84,5.25,9
,Aug,7.37,                  -   ,3.7,6.65,7.24,9.29,5.25,9
,Sept,8.69,                  -   ,6.59,6.56,7.34,9.75,5.25,9
,Oct,7.83,                  -   ,6.86,6.6,7.24,10.1,5.25,9
,Nov,6.52,,4.24,6.65,7.61,9.79,5.25,8.5
,Dec,7.45,,6.03,7.17,8.16,9.8,5.25,8.5
2020,Jan,5.38,,4.39,7.23,8.17,9.87,5.25,8.25
,Feb,4.44,,4.84,7.31,8.25,9.85,5.25,8.25
,Mar,6.13,,4.4,7.29,8.14,9.2,4.25,7.25
,Apr,6.36,,5.13,7.21,8.14,9.07,4.25,7
,May,4.25,7.31,3.91,7.27,8.18,9.16,4.25,7
,Jun,3.5,,3.27,7.14,7.93,8.85,4.25,7
,Jul,3.84,,2.12,6.24,6.69,7.58,4.25,7
,Aug,3.59,7.38,2.56,6.2,6.56,7.48,4.25,7
,Sep,3.18,7.65,2.95,6.29,6.7,7.6,4.25,7
,Oct,3.97,,2.69,6.49,6.89,7.79,4.25,7
,Nov,6.64,,3.27,6.69,7.11,8.04,4.25,7
,Dec,6.87,7.7,5.29,6.9,7.38,8.27,4.25,7
2021,Jan,5.82,7.67,5.12,6.92,7.48,8.42,4.25,7
,Feb,6.04,,4.49,6.9,7.64,8.77,4.25,7
,Mar,6.12,7.78,5.23,7.03,7.82,9.14,4.25,7
,Apr,6.61,7.51,5.12,7.1,7.92,9.38,4.25,7
,May,6.05,,4.62,7.15,7.98,9.39,4.25,7
,June,5.37,,4.63,7.03,7.6,8.41,4.25,7
,July,5.31,,4.17,6.64,7.07,7.54,4.25,7
,August,5.41,,3.1,6.57,7.07,7.43,4.25,7
,September,5.54,7.62,4.73,6.83,7.25,7.76,4.25,7
,October,6.4,,5.3,6.951,7.361,8.139,4.25,7
,November,5.03,,4.97,7.1,7.66,7.928,4.25,7
,December,5.31,8.37,5.02,7.26,7.949,9.134,4.25,7
2022,Jan,5.09,8.51,4.36,7.32,8.08,9.47,4.25,7
,Feb,,8.46,4.73,7.28,8.09,9.69,4.25,7
,Mar,,8.54,4.73,7.25,8.08,9.77,4.25,7
,Apr,5,8.78,4.67,7.39,8.27,9.75,4.25,7
,May,6.4,8.2,4.6,7.65,8.69,9.85,4.25,7.5
,June,6.8,8.4,5.06,7.9,9.07,9.96,4.25,7.5
,July,7.24,8.59,5.5,8.21,9.29,9.98,4.25,7.5
,Aug,-,9.21,5.35,8.58,9.45,9.92,4.25,7.5
,Sept,-,9.63,4.36,8.92,9.6,9.9,4.25,8.25
,Oct,-,9.78,5.44,9.06,9.65,9.92,4.25,8.25
,Nov,7.65,9.7,4.61,9.19,9.71,10.17,4.25,8.75
,Dec,,9.84,5.39,9.33,9.8,10.27,4.25,8.75
2023,Jan,-,10.01,5.89,9.44,9.88,10.41,4.25,8.75
,Feb,-,10.1,6.42,9.62,10.06,10.62,4.25,8.75
,Mar,-,10.37,7.05,9.76,10.25,10.75,4.25,9.5
,Apr,-,10.57,8.55,10.04,10.42,10.92,4.25,9.5
,May,-,9.73,9.36,10.47,10.83,11.27,4.25,9.5
,June,-,9.9,9.55,11.49,11.54,11.69,4.25,10.5
,July,8.73,12.09,10.34,12.12,12.23,12.46,4.25,10.5
,August,9.71,14.48,12.57,13.25,13.19,13.55,4.25,10.5
,September,-,13.76,12.36,14.38,14.46,14.42,4.25,10.5
,October,-,12.54,12.7,14.96,15.03,15.26,4.25,10.5
,November,-,11.563,11.32,15.32,15.39,15.52,4.25,10.5
,,,,,,,,,
Source: Central Bank of Kenya,,,,,,,,,
